team,color_1,color_2
BAL,#241773,#000000
CIN,#FB4F14,#000000
CLE,#311D00,#FF3C00
PIT,#FFB612,#101820
BUF,#00338D,#C60C30
MIA,#008E97,#FC4C02
NE,#002244,#C60C30
NYJ,#125740,#000000
HOU,#03202F,#A71930
IND,#002C5F,#A2AAAD
JAX,#101820,#D7A22A
TEN,#0C2340,#4B92DB
DEN,#FB4F14,#002244
KC,#E31837,#FFB81C
LV,#000000,#A5ACAF
LAC,#0080C6,#FFC20E
CHI,#0B162A,#C83803
DET,#0076B6,#B0B7BC
GB,#203731,#FFB612
MIN,#4F2683,#FFC62F
DAL,#003594,#041E42
NYG,#0B2265,#A71930
PHI,#004C54,#A5ACAF
WAS,#5A1414,#FFB612
ATL,#A71930,#000000
CAR,#0085CA,#101820
NO,#D3BC8D,#101820
TB,#D50A0A,#FF7900
ARI,#97233F,#000000
LA,#003594,#FFA300
SF,#AA0000,#B3995D
SEA,#002244,#69BE28
football,#964B00,#000000
